id,line,audio_path,duration_sec,current_category,annotation_status,reference_text,expected_clean,decision,final_category,reviewer_notes
wenet_00001,1,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00000.wav,1.8,passthrough,curated,我有的时候说不清楚你们知道吗,我有的时候说不清楚你们知道吗,keep,passthrough,
wenet_00002,2,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00001.wav,1.61,passthrough,curated,那你觉得是谁要陷害你,那你觉得是谁要陷害你,keep,passthrough,
wenet_00003,3,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00002.wav,0.77,passthrough,curated,这个问题,这个问题,keep,passthrough,
wenet_00004,4,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00003.wav,0.71,passthrough,curated,这个人,这个人,keep,passthrough,
wenet_00005,5,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00004.wav,1.08,passthrough,curated,给我查下去,给我查下去,keep,passthrough,
wenet_00006,6,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00005.wav,2.19,passthrough,curated,那个房间我根本就没去过,那个房间我根本就没去过,keep,passthrough,
wenet_00007,7,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00006.wav,2.77,passthrough,curated,就凭他文知松一句话干嘛我就成嫌疑人啦,就凭他文知松一句话干嘛我就成嫌疑人啦,keep,passthrough,
wenet_00008,8,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00007.wav,2.84,passthrough,curated,你怎么能确定刘磊杀害了你妹妹,你怎么能确定刘磊杀害了你妹妹,keep,passthrough,
wenet_00009,9,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00008.wav,1.32,passthrough,curated,他想报复我,他想报复我,keep,passthrough,
wenet_00010,10,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00009.wav,1.14,passthrough,curated,杀了我妹妹,杀了我妹妹,keep,passthrough,
wenet_00011,11,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00010.wav,2.12,passthrough,curated,他妈是我害了他们,他妈是我害了他们,keep,passthrough,
wenet_00012,12,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00011.wav,2.94,passthrough,curated,但据我们所知你曾经和张晓柔发生过口角,但据我们所知你曾经和张晓柔发生过口角,keep,passthrough,
wenet_00013,13,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00012.wav,2.56,passthrough,curated,你们就因为这个就控告我谋杀吗,你们就因为这个就控告我谋杀吗,keep,passthrough,
wenet_00014,14,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00013.wav,4.11,passthrough,curated,看来我要在这里向你强调一下我们现在办理的是刑事案件,看来我要在这里向你强调一下我们现在办理的是刑事案件,keep,passthrough,
wenet_00015,15,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00014.wav,1.95,passthrough,curated,如果你在这做伪证的话,如果你在这做伪证的话,keep,passthrough,
wenet_00016,16,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00015.wav,1.55,passthrough,curated,你要承担刑事责任,你要承担刑事责任,keep,passthrough,
wenet_00017,17,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00016.wav,3.62,passthrough,curated,我不知道这个恶在你心中埋藏了多少年到底有多深,我不知道这个恶在你心中埋藏了多少年到底有多深,keep,passthrough,
wenet_00018,18,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00017.wav,2.92,passthrough,curated,我也不知道为什么会有现在这样的结果,我也不知道为什么会有现在这样的结果,keep,passthrough,
wenet_00019,19,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00018.wav,1.73,passthrough,curated,我说服不了桃子,我说服不了桃子,keep,passthrough,
wenet_00020,20,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00019.wav,1.96,passthrough,curated,我也说服不了我自己,我也说服不了我自己,keep,passthrough,
wenet_00021,21,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00020.wav,1.03,passthrough,curated,回来的时候,回来的时候,keep,passthrough,
wenet_00022,22,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00021.wav,2.58,passthrough,curated,我们就要不择手段的去赚钱,我们就要不择手段的去赚钱,keep,passthrough,
wenet_00023,23,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00022.wav,1.3,passthrough,curated,冯浩强奸了石畅,冯浩强奸了石畅,keep,passthrough,
wenet_00024,24,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00023.wav,0.84,passthrough,curated,这事儿你知道吧,这事儿你知道吧,keep,passthrough,
wenet_00025,25,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00024.wav,1.34,passthrough,curated,我知道我也不告诉你,我知道我也不告诉你,keep,passthrough,
wenet_00026,26,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00025.wav,1.27,passthrough,curated,这不是投义气,这不是投义气,keep,passthrough,
wenet_00027,27,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00026.wav,1.74,passthrough,curated,这是实事求是啊,这是实事求是啊,keep,passthrough,
wenet_00028,28,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00027.wav,1.4,passthrough,curated,人真的都是我杀的,人真的都是我杀的,keep,passthrough,
wenet_00029,29,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00028.wav,2.76,passthrough,curated,死者的死亡时间是晚上八点到十点半之间,死者的死亡时间是晚上八点到十点半之间,keep,passthrough,
wenet_00030,30,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00029.wav,1.21,passthrough,curated,是从十楼坠下的,是从十楼坠下的,keep,passthrough,
wenet_s00309,310,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00309.wav,4.45,repetition,curated,装这个监控其其实也是也是为了偷窥一点小利,装这个监控，其实也是为了偷窥，一点小利益。,correct,repetition,
wenet_self_correction,2693,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000012_38miTB0gDQs_TEST_NET_Y0000000012_38miTB0gDQs_S00164.wav,7.98,self_correction,curated,我不想杀他的不对我想杀死他为小小报仇可是我真的是不小心的呀,我想杀死他，为小小报仇。可是我真的是不小心的呀。,correct,self_correction,
wenet_multi_revision,4241,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000023_6bDGVHqtuFk_TEST_NET_Y0000000023_6bDGVHqtuFk_S00046.wav,22.97,self_correction,curated,他在话剧里面他演我父亲啊不他演我丈夫他演我丈夫演得特别好我演他的妻子有一次排练的时候啊我们家汉斯啊来探班休息的时候我看这两个男人啊在旁边交流怎样面对一个强势的女人的心得我一下子分不清到底哪个是我丈夫了这个时候赵立新的太太,他在话剧里面他演我丈夫他演我丈夫演得特别好我演他的妻子有一次排练的时候啊我们家汉斯啊来探班休息的时候我看这两个男人啊在旁边交流怎样面对一个强势的女人的心得我一下子分不清到底哪个是我丈夫了这个时候赵立新的太太,correct,self_correction,
wenet_filler_repetition,541,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000002_0UpehIF506s_TEST_NET_Y0000000002_0UpehIF506s_S00025.wav,9.59,filler_repetition,curated,啊不过眼皮现在摸起来特别特别特别油油的要死而且它这个是属于按会按出手指印儿的那种看到吗它不是牢牢吸附在你的皮肤上的,不过眼皮现在摸起来特别油油的要死而且它这个是属于按会按出手指印儿的那种看到吗它不是牢牢吸附在你的皮肤上的,correct,repetition,
wenet_filler_repetition_2,11479,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000059_OapfqJR7_Yg_TEST_NET_Y0000000059_OapfqJR7_Yg_S00280.wav,8.08,filler_repetition,curated,学习不不不注入血脉不注入情感这些来讲对她来讲是是重复她原来的自我感,学习不注入血脉不注入情感这些来讲对她来讲是重复她原来的自我感,correct,filler_repetition,
heuristic_passthrough_0001,8783,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000049_L3Hzwvujhww_TEST_NET_Y0000000049_L3Hzwvujhww_S00062.wav,2.98,passthrough,curated,我知道不能留遗憾这不是在打仗嘛,我知道不能留遗憾这不是在打仗嘛,keep,passthrough,
heuristic_passthrough_0002,421,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000000_-KTKHdZ2fb8_TEST_NET_Y0000000000_-KTKHdZ2fb8_S00420.wav,1.29,passthrough,curated,夏超怎么是你,夏超怎么是你,keep,passthrough,
heuristic_passthrough_0003,19252,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000096_mthA7mhXBk8_TEST_NET_Y0000000096_mthA7mhXBk8_S00223.wav,2.42,passthrough,curated,然后我就让他走了,然后我就让他走了,correct,repetition,
heuristic_passthrough_0004,2726,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000012_38miTB0gDQs_TEST_NET_Y0000000012_38miTB0gDQs_S00197.wav,2.47,passthrough,curated,他也会杀了罗志成,他也会杀了罗志成,keep,passthrough,
heuristic_passthrough_0005,5187,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000028_8DRJotb5-KI_TEST_NET_Y0000000028_8DRJotb5-KI_S00025.wav,3.0,passthrough,curated,我想我人生中最有意义的经历,我想我人生中最有意义的经历,keep,passthrough,
heuristic_passthrough_0006,19867,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000096_mthA7mhXBk8_TEST_NET_Y0000000096_mthA7mhXBk8_S00838.wav,1.41,passthrough,curated,小朱,小朱,keep,passthrough,
heuristic_passthrough_0007,17858,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000090_h3cjNSWhsiA_TEST_NET_Y0000000090_h3cjNSWhsiA_S00267.wav,1.49,passthrough,curated,从现在开始,从现在开始,keep,passthrough,
heuristic_passthrough_0008,20516,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000102_pfAEMpuQjJg_TEST_NET_Y0000000102_pfAEMpuQjJg_S00060.wav,0.98,passthrough,curated,哦不冒菜对不起,哦不冒菜对不起,keep,passthrough,
heuristic_passthrough_0009,18910,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000092_iKCED6OOK2g_TEST_NET_Y0000000092_iKCED6OOK2g_S00006.wav,0.84,passthrough,curated,你吃过这个吗,你吃过这个吗,keep,passthrough,
heuristic_passthrough_0010,12295,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000064_TDpQGYLhiX0_TEST_NET_Y0000000064_TDpQGYLhiX0_S00165.wav,3.25,passthrough,curated,生下她没多久她父母就出车祸死了,生下她没多久她父母就出车祸死了,keep,passthrough,
heuristic_passthrough_0011,16412,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000086_fUO55QYOK68_TEST_NET_Y0000000086_fUO55QYOK68_S00514.wav,1.76,passthrough,curated,嘴上恭谨心里唾骂,嘴上恭谨心里唾骂,keep,passthrough,
heuristic_passthrough_0012,16746,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000087_gEptCQjHk34_TEST_NET_Y0000000087_gEptCQjHk34_S00177.wav,2.18,passthrough,curated,那当时林生斌怎么说的他接受了吗,那当时林生斌怎么说的他接受了吗,keep,passthrough,
heuristic_passthrough_0013,17685,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000090_h3cjNSWhsiA_TEST_NET_Y0000000090_h3cjNSWhsiA_S00094.wav,1.05,passthrough,curated,都让你给惯的,都让你给惯的,keep,passthrough,
heuristic_passthrough_0014,10643,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000056_OM_dsWT-5u0_TEST_NET_Y0000000056_OM_dsWT-5u0_S00392.wav,0.83,passthrough,curated,振兴,振兴,keep,passthrough,
heuristic_passthrough_0015,12347,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000064_TDpQGYLhiX0_TEST_NET_Y0000000064_TDpQGYLhiX0_S00217.wav,1.5,passthrough,curated,这车是大哥的车,这车是大哥的车,keep,passthrough,
heuristic_passthrough_0016,18549,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000091_hMHaHxbJe9M_TEST_NET_Y0000000091_hMHaHxbJe9M_S00234.wav,1.58,passthrough,curated,开个书记处会议,开个书记处会议,keep,passthrough,
heuristic_passthrough_0017,14403,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000074__HB0k410bug_TEST_NET_Y0000000074__HB0k410bug_S00069.wav,2.21,passthrough,curated,客舱内的压力系统恢复了正常,客舱内的压力系统恢复了正常,keep,passthrough,
heuristic_passthrough_0018,11048,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000057_OU9BmVwDzYI_TEST_NET_Y0000000057_OU9BmVwDzYI_S00014.wav,1.55,passthrough,curated,已经开了我们现在这个手镯,已经开了我们现在这个手镯,keep,passthrough,
heuristic_passthrough_0019,18907,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000092_iKCED6OOK2g_TEST_NET_Y0000000092_iKCED6OOK2g_S00003.wav,1.72,passthrough,curated,这边儿镜头这边儿,这边儿镜头这边儿,keep,passthrough,
heuristic_passthrough_0020,6569,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000033_Bm8baOIS9PI_TEST_NET_Y0000000033_Bm8baOIS9PI_S00306.wav,1.31,passthrough,curated,就能帮助我们,就能帮助我们,keep,passthrough,
heuristic_repetition_0021,13287,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000067_VW64c28XP5Y_TEST_NET_Y0000000067_VW64c28XP5Y_S00367.wav,1.24,repetition,curated,拜拜,拜拜,keep,passthrough,
heuristic_repetition_0022,22057,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000108_sQQTqZAbRW8_TEST_NET_Y0000000108_sQQTqZAbRW8_S00334.wav,1.96,repetition,curated,你们真没用啊一个儿个儿的,你们真没用啊一个儿个儿的,keep,passthrough,
heuristic_repetition_0023,10641,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000056_OM_dsWT-5u0_TEST_NET_Y0000000056_OM_dsWT-5u0_S00390.wav,0.63,repetition,curated,快快快,快快快,keep,passthrough,
heuristic_repetition_0024,23679,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000114_vsIe070gXRI_TEST_NET_Y0000000114_vsIe070gXRI_S00049.wav,10.66,repetition,curated,一个个打开死去女孩儿的遗物行李箱时潜伏已久的恶魔突然出现带走了灵女的魂魄正当小胖小兽不知所措时小女儿主动提出自己灵魂出窍,一个个打开死去女孩儿的遗物行李箱时潜伏已久的恶魔突然出现带走了灵女的魂魄正当小胖小兽不知所措时小女儿主动提出自己灵魂出窍,keep,passthrough,
heuristic_repetition_0025,20979,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000103_ptXJhAPUZbs_TEST_NET_Y0000000103_ptXJhAPUZbs_S00455.wav,1.43,repetition,curated,好好好吃就吃,好好好吃就吃,keep,passthrough,
